"local.anomaly","resid","res.color"
"-1.442199","1.27768147871395","#4292C6"
"0.605801","-0.518408326436057","#4292C6"
"1.093831","-0.704809198176123","#4292C6"
"-0.5376157","-0.0858467517229814","#4292C6"
"0.9618249","0.271108788211125","#4292C6"
"-0.5376157","-0.318319320196188","#4292C6"
"0.3644978","-0.967955263025026","#4292C6"
"-0.004839684","0.619724570042096","#4292C6"
"-1.442199","0.177764255194343","#4292C6"
"-1.442199","1.27256472662192","#4292C6"
"1.093831","-0.38400652474703","#4292C6"
"-0.004839684","0.150208558182489","#4292C6"
"0.4063263","-0.840147653632535","#4292C6"
"0.8860658","-0.8389640010351","#4292C6"
"-0.5376157","-0.0801644276483195","#4292C6"
"0.3644978","0.484502968509661","#4292C6"
"-1.148914","-0.277525730459579","#4292C6"
"-1.442199","0.379534906275227","#4292C6"
"-0.004839684","-0.797270030787134","#4292C6"
"0.3743559","0.812795106397697","#4292C6"
"1.093831","0.159684327749836","#4292C6"
"0.4063263","-0.190548824831535","#4292C6"
"-0.8493645","-0.7514227483878","#4292C6"
"2.465792","0.597063322299804","#4292C6"
"0.343408","1.07453497467313","#4292C6"
"-1.420661","-0.68880011107106","#4292C6"
"0.9051906","-0.444026979098705","#4292C6"
"-1.266892","-0.04707246921249","#4292C6"
"-1.447697","-0.0760630891232348","#4292C6"
"-1.447697","1.55995683939432","#4292C6"
"-1.266892","0.129707581413928","#4292C6"
"0.9051906","-1.42182420097646","#4292C6"
"0.343408","-0.325931480731481","#4292C6"
"0.9167524","-0.190566354845392","#4292C6"
"0.343408","0.335710983582397","#4292C6"
"-0.896955","-0.529261599627424","#4292C6"
"0.9051906","-0.520191966464905","#4292C6"
"0.4026624","-0.305378095858906","#4292C6"
"2.40654","0.606855421998513","#4292C6"
"-0.08341043","0.707354771839714","#4292C6"
"1.049658","-0.441170279525685","#4292C6"
"-1.266892","0.129594637390768","#4292C6"
"0.3334969","-1.23694000862524","#4292C6"
"-0.5800552","0.729590118081293","#4292C6"
"-1.447697","-0.000253221934299663","#4292C6"
"-1.188426","0.554999255822229","#4292C6"
"-1.188426","-1.19328348826972","#4292C6"
"-0.08341043","-0.245118644843054","#4292C6"
"1.049658","-0.180750794132879","#4292C6"
"-1.447697","0.157987929729314","#4292C6"
"0.4026624","-0.299841698330543","#4292C6"
"0.3334969","1.57315051231664","#4292C6"
"0.343408","0.121428217994391","#4292C6"
"-1.388105","1.79107070427243","#4292C6"
"1.02333","-0.14645950424732","#4292C6"
"0.04864679","-0.666908314281947","#4292C6"
"1.903337","-0.410583251576706","#4292C6"
"0.1863007","1.63400827097511","#4292C6"
"0.5407242","-1.42894486789877","#4292C6"
"-1.505853","0.568334702074239","#4292C6"
"-0.1766794","-2.21131467952159","#4292C6"
"-0.283485","0.492163348018959","#4292C6"
"-0.8316489","-0.964298016339689","#4292C6"
"0.02009789","1.14044057657168","#4292C6"
"0.3766993","0.798851767813175","#4292C6"
"-1.434336","-0.478079089065994","#4292C6"
"0.5281117","-1.52902229076781","#4292C6"
"0.005602787","0.872544737680822","#4292C6"
"2.349653","-0.0795532332798856","#4292C6"
"-0.6057257","0.0877211747066137","#4292C6"
"-0.9268985","0.772354436224658","#4292C6"
"0.3357477","0.955135609825221","#4292C6"
"-0.97716","0.0703278061937673","#4292C6"
"1.235113","0.290982281855385","#4292C6"
"-0.7817237","0.542004744014578","#4292C6"
"-0.4528848","-1.20618442234325","#4292C6"
